condition,keep_fraction,seed,method,num_samples,relative_l2_mean,relative_l2_ci95_low,relative_l2_ci95_high,correlation_mean,correlation_ci95_low,correlation_ci95_high,mse_mean,mse_ci95_low,mse_ci95_high
pml_outside_theta45,0.25,20260802,Time reversal,1000,0.9061094341278076,0.904600508724153,0.9077376907199621,0.5358077314866141,0.5302629901908553,0.5413976695960871,0.08308325034183413,0.081293525947174,0.08487560487612074
pml_outside_theta45,0.25,20260802,Iterated time reversal,1000,0.6820832772552967,0.6770451368883252,0.6872401122383773,0.6596322983936184,0.6540228043850911,0.665671283433915,0.045280964145038426,0.04451114228621102,0.04608588555101473
pml_outside_theta45,0.25,20260802,Gradient descent (1/L),1000,0.6259951393604278,0.6207091230124234,0.6318312561497093,0.7191569786089438,0.713782229840515,0.7248081493324157,0.03780757752469672,0.037168845676824394,0.03845024776737306
pml_outside_theta45,0.25,20260802,FNO-only,1000,0.846703129529953,0.8422334008783102,0.8512885413452983,0.41182438106567737,0.40688687221109004,0.41708038164172556,0.06980182148594312,0.06870279158540323,0.07089891335538501
pml_outside_theta45,0.25,20260802,Fourier-to-FNO,1000,0.9252399406433105,0.9189242776870727,0.9308870580300689,0.4209941150537891,0.41296669077298886,0.42895708628158497,0.08263346115494893,0.08154585177435611,0.0838373022702002
pml_outside_theta45,0.25,20260802,FNO-to-Fourier,1000,0.9510609243512154,0.945901011569798,0.956358738656342,0.3433315452937892,0.33586197122182765,0.35059555946096504,0.08907050985762374,0.08740170453330952,0.09065600700026158
periodic_theta89,0.5,20260802,Fourier inverse,1000,0.7806864070892334,0.7775178757831454,0.7839093338817358,0.5954523943696247,0.5900034814088218,0.6008999512953598,0.06069532154197567,0.05948558920301615,0.061907188319596566
periodic_theta89,0.5,20260802,Time reversal,1000,0.6829023413658142,0.6787662231117487,0.6871971497967839,0.6861644355264243,0.6811747410252713,0.6911002309446251,0.04596888285387594,0.045046120788108795,0.04685818472607154
periodic_theta89,0.5,20260802,Iterated time reversal,1000,0.4076231597065926,0.4011949877277017,0.41412929536215964,0.88744247108217,0.883595858501631,0.8912837127797653,0.016072242079753822,0.015695366085974667,0.016470644327557172
periodic_theta89,0.5,20260802,Gradient descent (1/L),1000,0.4154750185012817,0.40982663477286696,0.4212762376576662,0.8875114401427693,0.8842043769645922,0.8908579734166514,0.01675817946040156,0.016381698670858823,0.017153153703297584
periodic_theta89,0.5,20260802,FNO-only,1000,1.1950627483725549,1.1810599585816266,1.209081739360094,0.4353575298808132,0.42797280174759167,0.4428106103834992,0.13574727722008986,0.13341684238479506,0.1380833099627922
